x	y	z	Pressure
-11.760000000001881	-10.080000000001917	20	10.066299800627792
-11.760000000001881	-10.000000000001918	20	10.195976599076392
-11.760000000001881	-9.92000000000192	20	10.066299800640147
-11.680000000001883	-10.480000000001908	20	11.151713814153482
-11.680000000001883	-10.40000000000191	20	12.837790338055552
-11.680000000001883	-10.320000000001912	20	14.405256740653172
-11.680000000001883	-10.240000000001913	20	15.755557991993939
-11.680000000001883	-10.160000000001915	20	16.79688061352109
-11.680000000001883	-10.080000000001917	20	17.454424881991347
-11.680000000001883	-10.000000000001918	20	17.67927750731421
-11.680000000001883	-9.92000000000192	20	17.45442488201277
-11.680000000001883	-9.840000000001922	20	16.79688061356234
-11.680000000001883	-9.760000000001924	20	15.755557992051973
-11.680000000001883	-9.680000000001925	20	14.405256740723912
-11.680000000001883	-9.600000000001927	20	12.837790338134363
-11.680000000001883	-9.520000000001929	20	11.15171381423563
-11.600000000001884	-10.720000000001903	20	10.595116542233978
-11.600000000001884	-10.640000000001905	20	13.170680585817651
-11.600000000001884	-10.560000000001907	20	15.958525354206925
-11.600000000001884	-10.480000000001908	20	18.84774336608503
-11.600000000001884	-10.40000000000191	20	21.697416353366513
-11.600000000001884	-10.320000000001912	20	24.34662390867743
-11.600000000001884	-10.240000000001913	20	26.62879612689501
-11.600000000001884	-10.160000000001915	20	28.388757139069934
-11.600000000001884	-10.080000000001917	20	29.50008637783127
-11.600000000001884	-10.000000000001918	20	29.88011447466937
-11.600000000001884	-9.92000000000192	20	29.500086377867483
-11.600000000001884	-9.840000000001922	20	28.388757139139646
-11.600000000001884	-9.760000000001924	20	26.628796126993095
-11.600000000001884	-9.680000000001925	20	24.34662390879699
-11.600000000001884	-9.600000000001927	20	21.69741635349972
-11.600000000001884	-9.520000000001929	20	18.847743366223874
-11.600000000001884	-9.44000000000193	20	15.958525354344083
-11.600000000001884	-9.360000000001932	20	13.170680585947022
-11.600000000001884	-9.280000000001934	20	10.595116542351052
-11.520000000001886	-10.8800000000019	20	10.460363310992625
-11.520000000001886	-10.800000000001901	20	13.686270696269672
-11.520000000001886	-10.720000000001903	20	17.454424881927043
-11.520000000001886	-10.640000000001905	20	21.697416353339865
-11.520000000001886	-10.560000000001907	20	26.290119689669933
-11.520000000001886	-10.480000000001908	20	31.049825593311084
-11.520000000001886	-10.40000000000191	20	35.744384911869915
-11.520000000001886	-10.320000000001912	20	40.10869691226045
-11.520000000001886	-10.240000000001913	20	43.868353862867295
-11.520000000001886	-10.160000000001915	20	46.76771859941132
-11.520000000001886	-10.080000000001917	20	48.598525522556216
-11.520000000001886	-10.000000000001918	20	49.224584881397746
-11.520000000001886	-9.92000000000192	20	48.59852552261588
-11.520000000001886	-9.840000000001922	20	46.76771859952616
-11.520000000001886	-9.760000000001924	20	43.86835386302888
-11.520000000001886	-9.680000000001925	20	40.108696912457404
