x, mm	y, mm	z, mm	Pressure, MPa
-1.65	-0.55	5	38.16210259477812
-1.65	-0.5	5	41.104134553515564
-1.65	-0.45	5	43.9609417760769
-1.65	-0.4	5	46.6849321838143
-1.65	-0.35	5	49.22828907236698
-1.65	-0.3	5	51.54434407072246
-1.65	-0.25	5	53.5889882767257
-1.65	-0.2	5	55.32206261356286
-1.65	-0.15	5	56.70866651729861
-1.65	-0.1	5	57.72032553087656
-1.65	-0.05	5	58.3359632974741
-1.65	0.0	5	58.54263162426952
-1.65	0.05	5	58.3359632974741
-1.65	0.1	5	57.72032553087656
-1.65	0.15	5	56.70866651729861
-1.65	0.2	5	55.32206261356286
-1.65	0.25	5	53.5889882767257
-1.65	0.3	5	51.54434407072246
-1.65	0.35	5	49.22828907236698
-1.65	0.4	5	46.6849321838143
-1.65	0.45	5	43.9609417760769
-1.65	0.5	5	41.104134553515564
-1.65	0.55	5	38.16210259477812
-1.65	0.6	5	35.18093247363286
-1.65	0.65	5	32.20406267340077
-1.65	0.7	5	29.27131581213477
-1.65	0.75	5	26.418131218076514
-1.65	0.8	5	23.675011896624166
-1.65	0.85	5	21.06718864731936
-1.65	0.9	5	18.61449368210338
-1.65	0.95	5	16.331427106083055
-1.65	1.0	5	14.227392444419905
-1.65	1.05	5	12.307072268091742
-1.65	1.1	5	10.570911960859062
-1.6	-1.2	5	9.60824432515312
-1.6	-1.15	5	11.345660982293477
-1.6	-1.1	5	13.302823591903806
-1.6	-1.05	5	15.487671444189278
-1.6	-1.0	5	17.904272834897593
-1.6	-0.95	5	20.552067276757764
-1.6	-0.9	5	23.425162050588618
-1.6	-0.85	5	26.511723415192673
-1.6	-0.8	5	29.793503906111482
-1.6	-0.75	5	33.24554593994352
-1.6	-0.7	5	36.83609815250874
-1.6	-0.65	5	40.52677444227331
-1.6	-0.6	5	44.27297665786106
-1.6	-0.55	5	48.024590555119076
-1.6	-0.5	5	51.72695155232928
-1.6	-0.45	5	55.3220626135628
-1.6	-0.4	5	58.75003212029434
-1.6	-0.35	5	61.95068577675712
-1.6	-0.3	5	64.86529439201668
-1.6	-0.25	5	67.438349704688
-1.6	-0.2	5	69.61931405856453
-1.6	-0.15	5	71.36426730304721
-1.6	-0.1	5	72.63737613628858
-1.6	-0.05	5	73.41211729730523
-1.6	0.0	5	73.67219630501745
-1.6	0.05	5	73.41211729730523
-1.6	0.1	5	72.63737613628858
-1.6	0.15	5	71.36426730304721
-1.6	0.2	5	69.61931405856453
-1.6	0.25	5	67.438349704688
-1.6	0.3	5	64.86529439201668
-1.6	0.35	5	61.95068577675712
-1.6	0.4	5	58.75003212029434
-1.6	0.45	5	55.3220626135628
-1.6	0.5	5	51.72695155232928
-1.6	0.55	5	48.024590555119076
-1.6	0.6	5	44.27297665786106
-1.6	0.65	5	40.52677444227331
-1.6	0.7	5	36.83609815250874
-1.6	0.75	5	33.24554593994352
-1.6	0.8	5	29.793503906111482
-1.6	0.85	5	26.511723415192673
-1.6	0.9	5	23.425162050588618
-1.6	0.95	5	20.552067276757764
-1.6	1.0	5	17.904272834897593
-1.6	1.05	5	15.487671444189278
-1.6	1.1	5	13.302823591903806
-1.6	1.15	5	11.345660982293477
-1.6	1.2	5	9.60824432515312
-1.55	-1.25	5	10.095926510456762
-1.55	-1.2	5	12.00614763877978
-1.55	-1.15	5	14.177166629324645
-1.55	-1.1	5	16.622772969971745
-1.55	-1.05	5	19.35288733791507
-1.55	-1.0	5	22.372593342368923
-1.55	-0.95	5	25.681190616783788
-1.55	-0.9	5	29.271315812134713
-1.55	-0.85	5	33.12818187272999
-1.55	-0.8	5	37.22898736420672
-1.55	-0.75	5	41.542546107187654
-1.55	-0.7	5	46.02918263618936
-1.55	-0.65	5	50.64093093508072
-1.55	-0.6	5	55.322062613562856
-1.55	-0.55	5	60.00995655234024
-1.55	-0.5	5	64.63630567922482
-1.55	-0.45	5	69.12863879631507
-1.55	-0.4	5	73.41211729730523
-1.55	-0.35	5	77.41154935166028
-1.55	-0.3	5	81.05354888454663
-1.55	-0.25	5	84.26875458927732
-1.55	-0.2	5	86.99401626471251
-1.55	-0.15	5	89.17445272813404
-1.55	-0.1	5	90.76528785834785
-1.55	-0.05	5	91.73337905651346
-1.55	0.0	5	92.05836527237868
-1.55	0.05	5	91.73337905651346
-1.55	0.1	5	90.76528785834785
-1.55	0.15	5	89.17445272813404
-1.55	0.2	5	86.99401626471251
-1.55	0.25	5	84.26875458927732
-1.55	0.3	5	81.05354888454663
-1.55	0.35	5	77.41154935166028
-1.55	0.4	5	73.41211729730523
-1.55	0.45	5	69.12863879631507
-1.55	0.5	5	64.63630567922482
-1.55	0.55	5	60.00995655234024
-1.55	0.6	5	55.322062613562856
-1.55	0.65	5	50.64093093508072
-1.55	0.7	5	46.02918263618936
-1.55	0.75	5	41.542546107187654
-1.55	0.8	5	37.22898736420672
-1.55	0.85	5	33.12818187272999
-1.55	0.9	5	29.271315812134713
-1.55	0.95	5	25.681190616783788
-1.55	1.0	5	22.372593342368923
-1.55	1.05	5	19.35288733791507
-1.55	1.1	5	16.622772969971745
-1.55	1.15	5	14.177166629324645
-1.55	1.2	5	12.00614763877978
-1.55	1.25	5	10.095926510456762
-1.5	-1.3	5	10.459353802518601
-1.5	-1.25	5	12.52662531624836
-1.5	-1.2	5	14.896751953055752
-1.5	-1.15	5	17.59046623681643
-1.5	-1.1	5	20.62487761734674
-1.5	-1.05	5	24.01229527755956
-1.5	-1.0	5	27.75902675820573
-1.5	-0.95	5	31.864203072239803
-1.5	-0.9	5	36.3186880681443
-1.5	-0.85	5	41.10413455351553
-1.5	-0.8	5	46.192251412660454
-1.5	-0.75	5	51.544344070722424
-1.5	-0.7	5	57.111184783240134
-1.5	-0.65	5	62.83325921922415
-1.5	-0.6	5	68.64142180159158
-1.5	-0.55	5	74.45797472841349
-1.5	-0.5	5	80.19816529285667
-1.5	-0.45	5	85.77207410600809
-1.5	-0.4	5	91.08684439247298
-1.5	-0.35	5	96.04918111023821
-1.5	-0.3	5	100.56802972736777
-1.5	-0.25	5	104.557329484662
-1.5	-0.2	5	107.93872611641736
-1.5	-0.15	5	110.64412522712571
-1.5	-0.1	5	112.61797038095816
-1.5	-0.05	5	113.81913955535917
-1.5	0.0	5	114.22236956648022
-1.5	0.05	5	113.81913955535917
-1.5	0.1	5	112.61797038095816
-1.5	0.15	5	110.64412522712571
-1.5	0.2	5	107.93872611641736
-1.5	0.25	5	104.557329484662
-1.5	0.3	5	100.56802972736777
-1.5	0.35	5	96.04918111023821
-1.5	0.4	5	91.08684439247298
-1.5	0.45	5	85.77207410600809
-1.5	0.5	5	80.19816529285667
-1.5	0.55	5	74.45797472841349
-1.5	0.6	5	68.64142180159158
-1.5	0.65	5	62.83325921922415
-1.5	0.7	5	57.111184783240134
-1.5	0.75	5	51.544344070722424
-1.5	0.8	5	46.192251412660454
-1.5	0.85	5	41.10413455351553
-1.5	0.9	5	36.3186880681443
-1.5	0.95	5	31.864203072239803
-1.5	1.0	5	27.75902675820573
-1.5	1.05	5	24.01229527755956
-1.5	1.1	5	20.62487761734674
-1.5	1.15	5	17.59046623681643
-1.5	1.2	5	14.896751953055752
-1.5	1.25	5	12.52662531624836
-1.5	1.3	5	10.459353802518601
-1.45	-1.35	5	10.683659984551367
-1.45	-1.3	5	12.8860860176806
-1.45	-1.25	5	15.432996567872312
-1.45	-1.2	5	18.35302932432632
-1.45	-1.15	5	21.67172707783727
-1.45	-1.1	5	25.410168935796708
-1.45	-1.05	5	29.583520002360853
-1.45	-1.0	5	34.199551265509484
-1.45	-0.95	5	39.257192119732224
-1.45	-0.9	5	44.74518668473785
-1.45	-0.85	5	50.64093093508072
-1.45	-0.8	5	56.909569777679586
-1.45	-0.75	5	63.503430896497086
-1.45	-0.7	5	70.36186494726567
-1.45	-0.65	5	77.41154935166033
-1.45	-0.6	5	84.56729568687255
-1.45	-0.55	5	91.73337905651346
-1.45	-0.5	5	98.80538281199232
-1.45	-0.45	5	105.67252487230594
-1.45	-0.4	5	112.22040425077273
-1.45	-0.35	5	118.33408000944337
-1.45	-0.3	5	123.90137155351432
-1.45	-0.25	5	128.816250693603
-1.45	-0.2	5	132.98218375977413
-1.45	-0.15	5	136.31527740121402
-1.45	-0.1	5	138.7470852277876
-1.45	-0.05	5	140.22694427026408
-1.45	0.0	5	140.7237298945313
-1.45	0.05	5	140.22694427026408
-1.45	0.1	5	138.7470852277876
-1.45	0.15	5	136.31527740121402
-1.45	0.2	5	132.98218375977413
-1.45	0.25	5	128.816250693603
-1.45	0.3	5	123.90137155351432
-1.45	0.35	5	118.33408000944337
-1.45	0.4	5	112.22040425077273
-1.45	0.45	5	105.67252487230594
-1.45	0.5	5	98.80538281199232
-1.45	0.55	5	91.73337905651346
-1.45	0.6	5	84.56729568687255
-1.45	0.65	5	77.41154935166033
-1.45	0.7	5	70.36186494726567
-1.45	0.75	5	63.503430896497086
-1.45	0.8	5	56.909569777679586
-1.45	0.85	5	50.64093093508072
-1.45	0.9	5	44.74518668473785
-1.45	0.95	5	39.257192119732224
-1.45	1.0	5	34.199551265509484
-1.45	1.05	5	29.583520002360853
-1.45	1.1	5	25.410168935796708
-1.45	1.15	5	21.67172707783727
-1.45	1.2	5	18.35302932432632
-1.45	1.25	5	15.432996567872312
-1.45	1.3	5	12.8860860176806
-1.45	1.35	5	10.683659984551367
-1.4	-1.4	5	10.759492631569776
-1.4	-1.35	5	13.069666185582756
-1.4	-1.3	5	15.763965058165706
-1.4	-1.25	5	18.879682962299494
-1.4	-1.2	5	22.45185330776222
-1.4	-1.15	5	26.511723415192723
-1.4	-1.1	5	31.085080037210965
-1.4	-1.05	5	36.19047513534312
-1.4	-1.0	5	41.83741521007446
-1.4	-0.95	5	48.024590555119126
-1.4	-0.9	5	54.73823148871612
-1.4	-0.85	5	61.95068577675718
-1.4	-0.8	5	69.61931405856463
-1.4	-0.75	5	77.685797250809
-1.4	-0.7	5	86.07594105255822
-1.4	-0.65	5	94.70004758649671
-1.4	-0.6	5	103.45390310465866
-1.4	-0.55	5	112.22040425077283
-1.4	-0.5	5	120.87181476748223
-1.4	-0.45	5	129.27261135844975
-1.4	-0.4	5	137.2828436031832
-1.4	-0.35	5	144.76190054137254
-1.4	-0.3	5	151.57254802959653
-1.4	-0.25	5	157.58507836061875
-1.4	-0.2	5	162.68139877937685
-1.4	-0.15	5	166.7588798412881
-1.4	-0.1	5	169.73378886747975
-1.4	-0.05	5	171.54414821201624
-1.4	0.0	5	172.15188210511636
-1.4	0.05	5	171.54414821201624
-1.4	0.1	5	169.73378886747975
-1.4	0.15	5	166.7588798412881
-1.4	0.2	5	162.68139877937685
-1.4	0.25	5	157.58507836061875
-1.4	0.3	5	151.57254802959653
-1.4	0.35	5	144.76190054137254
-1.4	0.4	5	137.2828436031832
-1.4	0.45	5	129.27261135844975
-1.4	0.5	5	120.87181476748223
-1.4	0.55	5	112.22040425077283
-1.4	0.6	5	103.45390310465866
-1.4	0.65	5	94.70004758649671
-1.4	0.7	5	86.07594105255822
-1.4	0.75	5	77.685797250809
-1.4	0.8	5	69.61931405856463
-1.4	0.85	5	61.95068577675718
-1.4	0.9	5	54.73823148871612
-1.4	0.95	5	48.024590555119126
-1.4	1.0	5	41.83741521007446
-1.4	1.05	5	36.19047513534312
-1.4	1.1	5	31.085080037210965
-1.4	1.15	5	26.511723415192723
-1.4	1.2	5	22.45185330776222
-1.4	1.25	5	18.879682962299494
-1.4	1.3	5	15.763965058165706
-1.4	1.35	5	13.069666185582756
-1.4	1.4	5	10.759492631569776
-1.35	-1.45	5	10.683659984551367
-1.35	-1.4	5	13.069666185582756
-1.35	-1.35	5	15.875857724124268
-1.35	-1.3	5	19.148650231600868
-1.35	-1.25	5	22.933344764128357
-1.35	-1.2	5	27.272496764311857
-1.35	-1.15	5	32.20406267340075
-1.35	-1.1	5	37.75936592459895
-1.35	-1.05	5	43.96094177607686
-1.35	-1.0	5	50.820337871593374
-1.35	-0.95	5	58.33596329747407
-1.35	-0.9	5	66.49109187988705
-1.35	-0.85	5	75.25213416610859
-1.35	-0.8	5	84.56729568687248
-1.35	-0.75	5	94.36573565279748
-1.35	-0.7	5	104.557329484662
-1.35	-0.65	5	115.03312024981025
-1.35	-0.6	5	125.6665184384483
-1.35	-0.55	5	136.3152774012139
-1.35	-0.5	5	146.82423459461052
-1.35	-0.45	5	157.02876847892873
-1.35	-0.4	5	166.75887984128795
-1.35	-0.35	5	175.84376710430755
-1.35	-0.3	5	184.11673054475736
-1.35	-0.25	5	191.42021287872754
-1.35	-0.2	5	197.61076562398455
-1.35	-0.15	5	202.56372374032293
-1.35	-0.1	5	206.17737628288967
-1.35	-0.05	5	208.37643836873744
-1.35	0.0	5	209.11465896932398
-1.35	0.05	5	208.37643836873744
-1.35	0.1	5	206.17737628288967
-1.35	0.15	5	202.56372374032293
-1.35	0.2	5	197.61076562398455
-1.35	0.25	5	191.42021287872754
-1.35	0.3	5	184.11673054475736
-1.35	0.35	5	175.84376710430755
-1.35	0.4	5	166.75887984128795
-1.35	0.45	5	157.02876847892873
-1.35	0.5	5	146.82423459461052
-1.35	0.55	5	136.3152774012139
-1.35	0.6	5	125.6665184384483
-1.35	0.65	5	115.03312024981025
-1.35	0.7	5	104.557329484662
-1.35	0.75	5	94.36573565279748
-1.35	0.8	5	84.56729568687248
-1.35	0.85	5	75.25213416610859
-1.35	0.9	5	66.49109187988705
-1.35	0.95	5	58.33596329747407
-1.35	1.0	5	50.820337871593374
-1.35	1.05	5	43.96094177607686
-1.35	1.1	5	37.75936592459895
-1.35	1.15	5	32.20406267340075
-1.35	1.2	5	27.272496764311857
-1.35	1.25	5	22.933344764128357
-1.35	1.3	5	19.148650231600868
-1.35	1.35	5	15.875857724124268
-1.35	1.4	5	13.069666185582756
-1.35	1.45	5	10.683659984551367
-1.3	-1.5	5	10.459353802518601
-1.3	-1.45	5	12.8860860176806
-1.3	-1.4	5	15.763965058165706
-1.3	-1.35	5	19.148650231600868
-1.3	-1.3	5	23.09612570633022
-1.3	-1.25	5	27.66103130678142
-1.3	-1.2	5	32.8946952383375
-1.3	-1.15	5	38.84289862540448
-1.3	-1.1	5	45.54342219623649
-1.3	-1.05	5	53.02344683038538
-1.3	-1.0	5	61.296900707051414
-1.3	-0.95	5	70.36186494726563
-1.3	-0.9	5	80.19816529285667
-1.3	-0.85	5	90.76528785834785
-1.3	-0.8	5	102.00076079540548
-1.3	-0.75	5	113.81913955535913
-1.3	-0.7	5	126.11172046532562
-1.3	-0.65	5	138.74708522778747
-1.3	-0.6	5	151.57254802959648
-1.3	-0.55	5	164.41653821406214
-1.3	-0.5	5	177.0919066314443
-1.3	-0.45	5	189.40009517299333
-1.3	-0.4	5	201.13605945473546
-1.3	-0.35	5	212.09378732154164
-1.3	-0.3	5	222.07221406564588
-1.3	-0.25	5	230.881302123506
-1.3	-0.2	5	238.34803124889203
-1.3	-0.15	5	244.32203682576326
-1.3	-0.1	5	248.68064029768766
-1.3	-0.05	5	251.33303687689644
-1.3	0.0	5	252.22344093065124
-1.3	0.05	5	251.33303687689644
-1.3	0.1	5	248.68064029768766
-1.3	0.15	5	244.32203682576326
-1.3	0.2	5	238.34803124889203
-1.3	0.25	5	230.881302123506
-1.3	0.3	5	222.07221406564588
-1.3	0.35	5	212.09378732154164
-1.3	0.4	5	201.13605945473546
-1.3	0.45	5	189.40009517299333
-1.3	0.5	5	177.0919066314443
-1.3	0.55	5	164.41653821406214
-1.3	0.6	5	151.57254802959648
-1.3	0.65	5	138.74708522778747
-1.3	0.7	5	126.11172046532562
-1.3	0.75	5	113.81913955535913
-1.3	0.8	5	102.00076079540548
-1.3	0.85	5	90.76528785834785
-1.3	0.9	5	80.19816529285667
-1.3	0.95	5	70.36186494726563
-1.3	1.0	5	61.296900707051414
-1.3	1.05	5	53.02344683038538
-1.3	1.1	5	45.54342219623649
-1.3	1.15	5	38.84289862540448
-1.3	1.2	5	32.8946952383375
-1.3	1.25	5	27.66103130678142
-1.3	1.3	5	23.09612570633022
-1.3	1.35	5	19.148650231600868
-1.3	1.4	5	15.763965058165706
-1.3	1.45	5	12.8860860176806
-1.3	1.5	5	10.459353802518601
-1.25	-1.55	5	10.095926510456762
-1.25	-1.5	5	12.52662531624836
-1.25	-1.45	5	15.432996567872312
-1.25	-1.4	5	18.879682962299494
-1.25	-1.35	5	22.933344764128357
-1.25	-1.3	5	27.66103130678142
-1.25	-1.25	5	33.12818187272999
-1.25	-1.2	5	39.396269590154695
-1.25	-1.15	5	46.52012413618656
-1.25	-1.1	5	54.54499352862374
-1.25	-1.05	5	63.503430896497086
-1.25	-1.0	5	73.41211729730529
-1.25	-0.95	5	84.26875458927736
-1.25	-0.9	5	96.04918111023821
-1.25	-0.85	5	108.70487548180692
-1.25	-0.8	5	122.16101841288162
-1.25	-0.75	5	136.31527740121402
-1.25	-0.7	5	151.03746369839595
-1.25	-0.65	5	166.17018442875062
-1.25	-0.6	5	181.53057571669572
-1.25	-0.55	5	196.9131562894678
-1.25	-0.5	5	212.09378732154164
-1.25	-0.45	5	226.83466606919433
-1.25	-0.4	5	240.89022151343764
-1.25	-0.35	5	254.0137235859884
-1.25	-0.3	5	265.96436751954826
-1.25	-0.25	5	276.51455518526046
-1.25	-0.2	5	285.4570692121889
-1.25	-0.15	5	292.6118257020806
-1.25	-0.1	5	297.83189891365396
-1.25	-0.05	5	301.0085366644345
-1.25	0.0	5	302.0749273967918
-1.25	0.05	5	301.0085366644345
-1.25	0.1	5	297.83189891365396
-1.25	0.15	5	292.6118257020806
-1.25	0.2	5	285.4570692121889
-1.25	0.25	5	276.51455518526046
-1.25	0.3	5	265.96436751954826
-1.25	0.35	5	254.0137235859884
-1.25	0.4	5	240.89022151343764
-1.25	0.45	5	226.83466606919433
-1.25	0.5	5	212.09378732154164
-1.25	0.55	5	196.9131562894678
-1.25	0.6	5	181.53057571669572
-1.25	0.65	5	166.17018442875062
-1.25	0.7	5	151.03746369839595
-1.25	0.75	5	136.31527740121402
-1.25	0.8	5	122.16101841288162
-1.25	0.85	5	108.70487548180692
-1.25	0.9	5	96.04918111023821
-1.25	0.95	5	84.26875458927736
-1.25	1.0	5	73.41211729730529
-1.25	1.05	5	63.503430896497086
-1.25	1.1	5	54.54499352862374
-1.25	1.15	5	46.52012413618656
-1.25	1.2	5	39.396269590154695
-1.25	1.25	5	33.12818187272999
-1.25	1.3	5	27.66103130678142
-1.25	1.35	5	22.933344764128357
-1.25	1.4	5	18.879682962299494
-1.25	1.45	5	15.432996567872312
-1.25	1.5	5	12.52662531624836
-1.25	1.55	5	10.095926510456762
-1.2	-1.6	5	9.60824432515312
-1.2	-1.55	5	12.00614763877978
-1.2	-1.5	5	14.896751953055752
-1.2	-1.45	5	18.35302932432632
-1.2	-1.4	5	22.45185330776222
-1.2	-1.35	5	27.272496764311857
-1.2	-1.3	5	32.8946952383375
-1.2	-1.25	5	39.396269590154695
-1.2	-1.2	5	46.85032410117728
-1.2	-1.15	5	55.32206261356286
-1.2	-1.1	5	64.86529439201668
-1.2	-1.05	5	75.51873184919798
-1.2	-1.0	5	87.3022122173698
-1.2	-0.95	5	100.21300252998688
-1.2	-0.9	5	114.22236956648022
-1.2	-0.85	5	129.27261135844975
-1.2	-0.8	5	145.27475227257725
-1.2	-0.75	5	162.10709776909334
-1.2	-0.7	5	179.61482646209762
-1.2	-0.65	5	197.61076562398463
-1.2	-0.6	5	215.8774522328347
-1.2	-0.55	5	234.170526497078
-1.2	-0.5	5	252.22344093065124
-1.2	-0.45	5	269.75339881875215
-1.2	-0.4	5	286.46836535836155
-1.2	-0.35	5	302.0749273967918
-1.2	-0.3	5	316.28671819144546
-1.2	-0.25	5	328.8330764281244
-1.2	-0.2	5	339.4675777349593
